Index,Clause,Label
26.0,agreement states dispute CUSTOMER WSP regard Agreement shall exclusively submitted courts New York acquired WSP Software Services United States,Jurisdiction
27.0,case dispute controversy arises relates EULA agreement shall govern resolution applicable law,Jurisdiction
28.0,EULA shall manage dispute resolution governing law whenever controversy claim arises,Jurisdiction
29.0,Whenever dispute claim concerning EULA agreement oversee resolution process applicable legal provisions,Jurisdiction
30.0,agreement charge dispute resolution applicable law whenever dispute controversy arises connection EULA,Jurisdiction
31.0,event dispute claim controversy arising related EULA agreement determine dispute resolution procedures relevant legal framework,Jurisdiction
32.0,EULA preside dispute resolution choice governing law event dispute controversy claim,Jurisdiction
33.0,Whenever dispute claim controversy arises regarding EULA agreement dictate procedures resolution governing legal principles,Jurisdiction
34.0,case dispute claim arising relating EULA agreement shall determine rules dispute resolution applicable legal system,Jurisdiction
35.0,agreement shall responsible dispute resolution selection governing law whenever dispute controversy claim arises connection EULA,Jurisdiction
36.0,Whenever controversy claim dispute arises relation EULA agreement guide process dispute resolution choice applicable law,Jurisdiction
37.0,agreement asserts licensee resides Company parties must adhere dispute resolution procedures outlined,Jurisdiction
38.0,licensee resident Company agreement mandates parties compliance specified dispute resolution procedures,Jurisdiction
39.0,event licensee resides Company agreement dictates parties shall observe dispute resolution procedures outlined,Jurisdiction
40.0,agreement stipulates licensee based Company parties obligated follow dispute resolution procedures described,Jurisdiction
41.0,licensee's residence Company agreement requires parties adhere specified dispute resolution procedures,Jurisdiction
42.0,case licensee resident Company agreement enforces parties adherence prescribed dispute resolution procedures,Jurisdiction
43.0,agreement outlines licensee situated Company parties shall abide designated dispute resolution procedures,Jurisdiction
44.0,licensee reside Company agreement compels parties comply outlined dispute resolution procedures,Jurisdiction
45.0,agreement declares licensee based Company parties must follow dispute resolution procedures specified,Jurisdiction
46.0,circumstance licensee user residing Company agreement directs parties follow stated dispute resolution procedures,Jurisdiction
47.0,agreement shall exclusively submitted courts country dispute arises relating agreement,Jurisdiction
48.0,agreement states parties shall follow dispute resolution procedures set forth licensee user residing company,Jurisdiction
49.0,agreement outlines governing law applies controversy dispute claim arising related EULA,Jurisdiction
50.0,agreement sets terms dispute resolution event controversy dispute arising EULA,Jurisdiction
51.0,agreement specifies dispute claim arising EULA shall resolved stated dispute resolution procedures,Jurisdiction
52.0,agreement requires parties follow dispute resolution procedures licensee user residing company,Jurisdiction
53.0,agreement designates courts country exclusive venue resolving disputes related agreement,Jurisdiction
54.0,agreement mandates controversy arising must submitted exclusively courts country,Jurisdiction
55.0,agreement determines governing law disputes arising specified within document,Jurisdiction
56.0,agreement compels parties adhere outlined dispute resolution procedures arising controversies,Jurisdiction
57.0,agreement shall governed construed accordance laws State California,Jurisdiction
58.0,legal action proceeding relating Agreement shall instituted state federal courts,Jurisdiction
59.0,legal action proceeding shall instituted state federal courts located Los Angeles County,Jurisdiction
60.0,courts designated venues handling legal action proceeding related Agreement,Jurisdiction
61.0,Agreement specifies governing law laws State California,Jurisdiction
62.0,accordance governing law legal matters arising Agreement must addressed,Jurisdiction
63.0,choice law venue outlined within Agreement clarity,Jurisdiction
64.0,Agreement ensures legal actions proceedings conducted laws California,Jurisdiction
65.0,Legal action proceedings related Agreement must initiated within state federal courts,Jurisdiction
66.0,Agreement's terms clear regarding jurisdiction governing law resolving legal matters,Jurisdiction
67.0,agreement shall resolved binding arbitration,Jurisdiction
68.0,resolution accordance rules American Arbitration Association,Jurisdiction
69.0,Agreement specifies method dispute resolution,Jurisdiction
70.0,clearly outlines resolution achieved binding arbitration,Jurisdiction
71.0,use binding arbitration governed specific rules,Jurisdiction
72.0,rules American Arbitration Association,Jurisdiction
73.0,Agreement designates arbitration chosen method dispute resolution,Jurisdiction
74.0,rules American Arbitration Association provide framework process,Jurisdiction
75.0,Binding arbitration agreed-upon approach settling disputes arising Agreement,Jurisdiction
76.0,American Arbitration Association's rules guiding principles arbitration process,Jurisdiction
77.0,agreement pertains users accessing online services outside United States,Jurisdiction
78.0,Disputes involving users shall subject arbitration,Jurisdiction
79.0,arbitration conducted accordance specific rules,Jurisdiction
80.0,rules International Dispute Resolution Centre Dubai,Jurisdiction
81.0,users located outside United States Agreement applicable,Jurisdiction
82.0,Agreement governs terms accessing online services internationally,Jurisdiction
83.0,Users residing abroad bound terms outlined Agreement,Jurisdiction
84.0,disputes arise arbitration chosen method resolution,Jurisdiction
85.0,process arbitration follows established rules,Jurisdiction
86.0,rules specifically International Dispute Resolution Centre Dubai,Jurisdiction
87.0,Users outside United States encompassed Agreement,Jurisdiction
88.0,International users accessing online services subject terms,Jurisdiction
89.0,Agreement applies individuals entities accessing services globally,Jurisdiction
90.0,disagreements occur arbitration designated process,Jurisdiction
91.0,rules governing arbitration outlined International Dispute Resolution Centre Dubai,Jurisdiction
92.0,Users situated abroad included scope Agreement,Jurisdiction
93.0,accessing online services internationally must adhere terms,Jurisdiction
94.0,Agreement establishes guidelines users worldwide,Jurisdiction
95.0,cases dispute arbitration serves primary method resolution,Jurisdiction
96.0,arbitration process follows specific rules International Dispute Resolution Centre Dubai,Jurisdiction
97.0,agreement also take account applicable legal provisions,Jurisdiction
98.0,event dispute claim EULA guiding document,Jurisdiction
99.0,dictate procedures resolving matters,Jurisdiction
100.0,Whenever disputes claims arise agreement takes charge,Jurisdiction
101.0,determines steps necessary resolution,Jurisdiction
102.0,considers legal provisions apply,Jurisdiction
103.0,dispute claim EULA plays central role,Jurisdiction
104.0,ensures adherence prescribed resolution process relevant legal provisions,Jurisdiction
,,
,,
,,
,,
1.0,agreement may terminate immediately breach terms fail comply policies provide,Termination
2.0,agreement states Failure pay required fees within specified timeframes may result immediate termination Agreement,Termination
3.0,agreement states use software services unauthorized purposes violation applicable laws reserve right terminate Agreement,Termination
4.0,agreement shall terminate Misuse resources including excessive bandwidth system resources,Termination
5.0,agreement shall terminate due prolonged inactivity,Termination
6.0,agreement shall terminate login usage certain time,Termination
7.0,agreement shall terminate found Engaging activities compromise security integrity services,Termination
8.0,agreement shall terminate Infringing intellectual property rights rights others,Termination
9.0,agreement shall terminate unauthorized access misuse personal data privacy violations,Termination
10.0,agreement shall terminate found Violations export control laws regulations,Termination
11.0,agreement shall terminate unable perform obligations due unforeseen circumstances beyond control,Termination
12.0,agreement shall terminate organization become insolvent file bankruptcy,Termination
13.0,agreement shall terminate upon expiration license period,Termination
14.0,agreement shall terminate business undergoes substantial change direction ownership,Termination
15.0,agreement shall terminate found event merger acquisition,Termination
16.0,agreement shall terminate changes regulatory requirements make impossible continue,Termination
17.0,agreement shall terminate relocate data center services affected,Termination
18.0,agreement shall terminate excessive use resources violation fair usage policy,Termination
19.0,agreement shall terminate failure perform obligations meet milestones specified,Termination
20.0,agreement shall terminate hosting distributing infringing content,Termination
21.0,agreement shall terminate reason [specific notice period] without penalty,Termination
22.0,agreement shall terminate violations acceptable use policy,Termination
23.0,agreement shall terminate change applicable laws regulations makes impossible continue Agreement,Termination
24.0,agreement shall terminate failure provide accurate up-to-date contact information,Termination
25.0,agreement shall terminate discontinue provision specific services software,Termination
26.0,agreement shall terminate engaging conduct violates established code conduct,Termination
27.0,agreement shall terminate substantial changes made terms Agreement,Termination
28.0,agreement shall terminate breach Agreement occurs cured within specified notice period,Termination
29.0,agreement shall terminate disrupting interfering proper operation service,Termination
30.0,agreement shall terminate unauthorized disclosure confidential information violation nondisclosure agreement,Termination
31.0,agreement subject termination certain conditions met,Termination
32.0,termination clause becomes applicable specific terms violated,Termination
33.0,Immediate termination possible upon breach agreement's terms,Termination
34.0,Breaching stipulated terms triggers termination process,Termination
35.0,terms violated agreement allows immediate termination,Termination
36.0,Failure comply policies provide lead termination,Termination
37.0,Termination becomes option non-compliance occurs,Termination
38.0,breach terms non-compliance activates termination clause,Termination
39.0,case policy violations agreement terminated,Termination
40.0,Immediate termination may result breaches policy non-compliance,Termination
41.0,agreement may terminate immediately breach terms,Termination
42.0,Breaching terms agreement could lead immediate termination,Termination
43.0,Termination may occur swiftly agreement's terms violated,Termination
44.0,Violating terms may result agreement's termination without delay,Termination
45.0,Immediate termination possible upon breaching terms agreement,Termination
46.0,agreement provisions swift termination case breaches,Termination
47.0,breach terms agreement allows immediate termination,Termination
48.0,agreement outlines possibility quick termination violations,Termination
49.0,Swift termination consequence breaches agreement,Termination
50.0,agreement terms emphasize potential immediate termination,Termination
51.0,agreement also terminate fail comply policies provide,Termination
52.0,Non-compliance provided policies may lead termination agreement,Termination
53.0,Termination could result adhering policies provide,Termination
54.0,agreement mentions failing follow provided policies result termination,Termination
55.0,Non-compliance policies grounds terminating agreement,Termination
56.0,comply policies provide agreement terminated,Termination
57.0,Termination may triggered lack compliance policies,Termination
58.0,agreement allows termination provided policies followed,Termination
59.0,adhering policies provide could lead agreement's termination,Termination
60.0,Failing comply provided policies explicitly linked termination agreement,Termination
61.0,Termination could happen due failure pay required fees within specified timeframes,Termination
62.0,failure pay required fees within specified timeframes may result termination,Termination
63.0,Termination possible consequence meeting payment deadlines,Termination
64.0,agreement makes clear failing pay fees within specified timeframes lead termination,Termination
65.0,Non-payment within specified timeframes grounds termination,Termination
66.0,fees paid within specified timeframes termination potential outcome,Termination
67.0,agreement allows termination required fees paid time,Termination
68.0,meeting payment deadlines could result agreement's termination,Termination
69.0,Failure pay fees within specified timeframes explicitly linked termination agreement,Termination
70.0,Termination may occur required fees paid within specified timeframes,Termination
71.0,Swift termination consequence violating agreement cases,Termination
72.0,Violation agreement situations results swift termination,Termination
73.0,Termination prompt agreement violated cases,Termination
74.0,agreement stipulates swift termination violations instances,Termination
75.0,violation agreement leads immediate termination,Termination
76.0,Violating agreement situations triggers swift termination,Termination
77.0,Swift termination explicitly mentioned violations cases,Termination
78.0,Termination swift agreement violated circumstances,Termination
79.0,agreement specifies prompt termination violations occurring cases,Termination
80.0,agreement states prolonged inactivity may lead termination,Termination
81.0,Prolonged inactivity grounds termination specified agreement,Termination
82.0,agreement allows termination cases extended inactivity,Termination
83.0,login usage certain time termination possibility according agreement,Termination
84.0,agreement explicitly mentions termination event prolonged inactivity,Termination
85.0,Termination potential outcome extended periods inactivity per agreement,Termination
86.0,agreement stipulates login usage certain time trigger termination,Termination
87.0,Extended inactivity result termination outlined agreement,Termination
88.0,agreement emphasizes possibility termination due prolonged inactivity,Termination
89.0,agreement allows termination login usage certain time,Termination
90.0,Termination may occur login usage within specified timeframe stated agreement,Termination
91.0,agreement specifies termination possible login usage certain time,Termination
92.0,Inactivity specified period trigger termination according agreement,Termination
93.0,Termination explicitly mentioned consequence login usage certain time agreement,Termination
94.0,agreement highlights potential termination absence login usage,Termination
95.0,Non-engagement within specified timeframe result termination per agreement,Termination
96.0,agreement outlines termination activities compromising security integrity occur,Termination
97.0,agreement explicitly mentions termination consequence activities compromising security integrity,Termination
98.0,agreement allows termination cases activities compromise security integrity,Termination
99.0,Termination outlined agreement infringement intellectual property rights,Termination
100.0,agreement specifies infringement intellectual property rights result termination,Termination
,,
,,
,,
,,
,,
1.0,agreement shall limited amount paid software service,Liability
2.0,company shall liable direct-indirect-incidental-special consequential damages,Liability
3.0,event shall company's liability exceed amount paid user software services,Liability
4.0,user agrees indemnify hold company harmless damages,Liability
5.0,company disclaims warranties including fitness particular purpose non-infringement,Liability
6.0,company responsible third-party content services accessed software,Liability
7.0,Liability limited maximum extent permitted applicable law,Liability
8.0,company shall liable loss data data breaches,Liability
9.0,action company must brought within specified time frame,Liability
10.0,company liable interruptions downtime software services,Liability
11.0,user acknowledges software may contain bugs errors company liable resulting issues,Liability
12.0,company responsible unauthorized access user's account,Liability
13.0,user assumes risks associated use software services,Liability
14.0,company shall liable damages resulting use third-party hardware software,Liability
15.0,user solely responsible backup data recovery,Liability
16.0,company liable loss profits business opportunities,Liability
17.0,user agrees company liable viruses malware transmitted software services,Liability
18.0,company liable actions taken law enforcement agencies,Liability
19.0,Liability excluded acts God unforeseen events,Liability
20.0,company liable inaccuracies errors content provided software,Liability
21.0,user agrees company's liability limited even advised possibility damages,Liability
22.0,Liability breach agreement limited extent permitted law,Liability
23.0,company shall liable loss confidential sensitive information,Liability
24.0,user acknowledges company liable actions users software,Liability
25.0,company liable delay failure perform obligations due circumstances beyond control,Liability
26.0,Liability security breaches limited company's efforts maintain security,Liability
27.0,user agrees company liable disputes users,Liability
28.0,company liable damage user's computer devices,Liability
29.0,Liability violation intellectual property rights limited specified remedy,Liability
30.0,company liable consequential damages resulting security breach,Liability
31.0,user acknowledges company liable availability third-party services integrated software,Liability
32.0,Liability excluded actions taken protect company's intellectual property,Liability
33.0,company shall liable errors omissions software services,Liability
34.0,user agrees company liable unauthorized modifications software,Liability
35.0,Liability breach privacy limited company's privacy policy,Liability
36.0,company liable loss access software services due user actions,Liability
37.0,Liability violation export control laws limited extent permitted law,Liability
38.0,user agrees company liable actions employees contractors,Liability
39.0,company shall liable defamation harm caused user-generated content,Liability
40.0,Liability excluded unauthorized use user's account,Liability
41.0,user acknowledges company liable accuracy content provided third parties,Liability
42.0,company liable reliance information obtained software,Liability
43.0,Liability violation fair use policies limited company's policies,Liability
44.0,company shall liable damage user's reputation business,Liability
45.0,user agrees company liable changes software services,Liability
46.0,Liability breach confidentiality limited specified remedy,Liability
47.0,company liable loss user-generated content,Liability
48.0,Liability excluded breach data protection laws,Liability
49.0,user acknowledges company liable disputes third-party providers,Liability
50.0,company shall liable loss access software services due maintenance upgrades,Liability
51.0,company liable unauthorized access user's personal information,Liability
52.0,Liability breach agreement limited specified remedy,Liability
53.0,user agrees company liable actions taken enforce agreement,Liability
54.0,company liable loss access software services due network server issues,Liability
55.0,Liability excluded breach data security measures,Liability
56.0,company shall liable disputes users software services,Liability
57.0,user acknowledges company liable changes legal regulatory landscape,Liability
58.0,company liable loss access software services due user non-compliance,Liability
59.0,Liability violation usage policies limited company's policies,Liability
60.0,company liable unauthorized access user accounts,Liability
61.0,user agrees company liable loss access software services due user actions,Liability
62.0,company liable actions taken protect integrity systems,Liability
63.0,Liability excluded breach payment obligations,Liability
64.0,user acknowledges company liable disputes payment processors,Liability
65.0,company shall liable loss access software services due billing issues,Liability
67.0,company liable unauthorized access user payment information,Liability
68.0,Liability violation payment terms limited company's terms,Liability
69.0,user agrees company liable loss access software services due disputes payment processors,Liability
70.0,company liable actions taken enforce payment obligations,Liability
71.0,Liability excluded breach financial regulations,Liability
72.0,user acknowledges company liable disputes financial institutions,Liability
73.0,company shall liable loss access software services due financial disputes,Liability
74.0,company liable unauthorized access financial information,Liability
75.0,Liability violation financial terms limited company's terms,Liability
76.0,user agrees company liable loss access software services due changes financial regulations,Liability
77.0,company liable actions taken enforce financial obligations,Liability
78.0,Liability excluded breach advertising standards,Liability
79.0,user acknowledges company liable disputes advertisers,Liability
80.0,company shall liable loss access software services due advertising disputes,Liability
81.0,Liability violation advertising policies limited company's policies,Liability
82.0,user agrees company liable loss access software services due changes advertising standards,Liability
83.0,company liable actions taken enforce advertising standards,Liability
84.0,Liability excluded breach content guidelines,Liability
85.0,user acknowledges company liable disputes related content guidelines,Liability
86.0,company shall liable loss access software services due content guideline disputes,Liability
87.0,company liable unauthorized content posted users,Liability
88.0,Liability violation content guidelines limited company's policies,Liability
89.0,user agrees company liable loss access software services due changes content guidelines,Liability
90.0,company liable actions taken enforce content guidelines,Liability
91.0,user acknowledges company liable disputes related user conduct standards,Liability
92.0,company shall liable loss access software services due user conduct standard disputes,Liability
93.0,company liable unauthorized conduct users,Liability
94.0,Liability violation user conduct standards limited company's policies,Liability
95.0,user agrees company liable loss access software services due changes user conduct standards,Liability
96.0,company liable actions taken enforce user conduct standards,Liability
97.0,company shall liable loss access software services due community guideline disputes,Liability
98.0,company liable unauthorized actions users violation community guidelines,Liability
99.0,user acknowledges company liable disputes related community guidelines,Liability
100.0,company shall liable damages losses injuries arising use software services including limited indirect incidental special consequential punitive damages,Liability
,,
,,
,,
1.0,Agreement grants personal non-exclusive non-transferable license install use Software single device,Licence-grant
2.0,granted non-exclusive non-transferable license install use Software five (5) devices owned controlled,Licence-grant
